city,drive,fuelType,highway,make,model,,VClass
14,4-Wheel or All-Wheel Drive,Premium,21,Audi,S4 Cabriolet,Automatic,Subcompact Cars
10,4-Wheel or All-Wheel Drive,Premium,17,Bentley,Continental GTC,Automatic,Subcompact Cars
23,Front-Wheel Drive,Regular,31,Chevrolet,Aveo 5,Automatic,Subcompact Cars
17,Front-Wheel Drive,Regular,23,Oldsmobile,Cutlass Cruiser,Automatic,Midsize-Large Station Wagons
23,Front-Wheel Drive,Regular,33,Chevrolet,Aveo 5,Manual,Subcompact Cars
21,Front-Wheel Drive,Regular,29,Chevrolet,Cobalt,Automatic,Subcompact Cars
22,Front-Wheel Drive,Regular,31,Chevrolet,Cobalt,Manual,Subcompact Cars
16,Rear-Wheel Drive,Regular,24,Ford,Mustang,Automatic,Subcompact Cars
17,Rear-Wheel Drive,Regular,25,Ford,Mustang,Manual,Subcompact Cars
15,Rear-Wheel Drive,Regular,22,Ford,Mustang,Automatic,Subcompact Cars
15,Rear-Wheel Drive,Regular,23,Ford,Mustang,Manual,Subcompact Cars
14,Rear-Wheel Drive,Premium,20,Ford,Mustang,Manual,Subcompact Cars
16,Rear-Wheel Drive,Premium,22,Mazda,RX-8,Manual,Subcompact Cars
16,Rear-Wheel Drive,Premium,23,Mazda,RX-8,Automatic,Subcompact Cars
17,Front-Wheel Drive,Regular,23,Oldsmobile,Cutlass Cruiser,Automatic,Midsize-Large Station Wagons
17,Rear-Wheel Drive,Premium,25,Mercedes-Benz,CLK350,Automatic,Subcompact Cars
17,Rear-Wheel Drive,Premium,25,Mercedes-Benz,CLK350 (Cabriolet),Automatic,Subcompact Cars
15,Rear-Wheel Drive,Premium,22,Mercedes-Benz,CLK550,Automatic,Subcompact Cars
15,Rear-Wheel Drive,Premium,22,Mercedes-Benz,CLK550 (Cabriolet),Automatic,Subcompact Cars
12,Rear-Wheel Drive,Premium,18,Mercedes-Benz,CLK63 AMG (Cabriolet),Automatic,Subcompact Cars
21,Front-Wheel Drive,Regular,29,Pontiac,G5/Pursuit,Automatic,Subcompact Cars
22,Front-Wheel Drive,Regular,31,Pontiac,G5/Pursuit,Manual,Subcompact Cars
14,Rear-Wheel Drive,Premium,20,Roush Performance,Stage 3 Mustang,Manual,Subcompact Cars
16,Front-Wheel Drive,Regular,22,Oldsmobile,Cutlass Cruiser,Automatic,Midsize-Large Station Wagons
15,Rear-Wheel Drive,Premium,20,Roush Performance,Stage 3 Mustang Coupe,Manual,Subcompact Cars
17,4-Wheel or All-Wheel Drive,Premium,23,Subaru,Impreza AWD,Manual,Subcompact Cars
21,Front-Wheel Drive,Regular,29,Scion,tC,Automatic,Subcompact Cars
20,Front-Wheel Drive,Regular,27,Scion,tC,Manual,Subcompact Cars
21,Front-Wheel Drive,Premium,29,Volkswagen,Eos,Manual,Subcompact Cars
20,Front-Wheel Drive,Premium,29,Volkswagen,Eos,Automatic,Subcompact Cars
20,Front-Wheel Drive,Regular,28,Volkswagen,New Beetle,Manual,Subcompact Cars
20,Front-Wheel Drive,Regular,29,Volkswagen,New Beetle,Automatic,Subcompact Cars
16,Front-Wheel Drive,Regular,24,Oldsmobile,Cutlass Cruiser,Automatic,Midsize-Large Station Wagons
18,Front-Wheel Drive,Premium,27,Volvo,C70 Convertible,Manual,Subcompact Cars
18,Front-Wheel Drive,Premium,27,Volvo,C70 Convertible,Automatic,Subcompact Cars
