Year,Term,Modality,Course,Coreq,pct_grade,d_grade
2022,Spring,H,146,Y,98.49,4
2024,Winter,O,146,Y,98.45,4
2022,Summer,O,211,N,98.43,4
2021,Winter,OC,146,N,98.4,4
2021,Fall,H,146,N,98.39,4
2019,Summer,IP,152,N,98.39,4
2021,Winter,OC,146,N,98.38,4
2023,Spring,O,146,Y,98.36,4
2020,Spring,OC,211,N,98.36,4
2022,Fall,H,146,Y,98.33,4
2020,Fall,IP,146,Y,98.32,4
2021,Spring,OC,146,Y,98.32,4
2022,Summer,O,146,Y,98.26,4
2019,Spring,IP,146,N,98.24,4
2021,Spring,OC,146,Y,98.19,4
2019,Winter,IP,141,N,98.19,4
2024,Fall,O,146,N,98.15,4
2024,Winter,H,146,Y,98.13,4
2022,Summer,O,146,Y,98.11,4
2023,Fall,H,211,N,98.1,4
2022,Winter,H,146,Y,98.03,4
2024,Fall,O,146,N,98,4
2020,Summer,OC,211,N,97.99,4
2022,Summer,O,211,N,97.99,4
2022,Summer,O,211,N,97.98,4
2021,Winter,OC,146,Y,97.97,4
2022,Summer,O,211,N,97.9,4
2021,Spring,OC,146,Y,97.87,4
2022,Summer,O,211,N,97.84,4
2022,Spring,H,146,Y,97.83,4
2020,Summer,OC,211,N,97.83,4
2021,Summer,OC,146,Y,97.82,4
2024,Fall,O,146,N,97.81,4
2020,Fall,OC,208,N,97.77,4
2024,Summer,O,148,N,97.76,4
2020,Summer,OC,152,N,97.76,4
2020,Spring,OC,211,N,97.74,4
2023,Fall,H,146,N,97.73,4
2021,Winter,OC,146,N,97.73,4
2021,Fall,H,146,Y,97.68,4
2023,Winter,O,146,Y,97.64,4
2023,Fall,H,211,N,97.63,4
2022,Fall,H,146,Y,97.62,4
2022,Fall,H,107,Y,97.62,4
2022,Summer,O,211,N,97.62,4
2021,Winter,OC,146,N,97.61,4
2022,Summer,O,146,Y,97.58,4
2022,Summer,O,146,Y,97.56,4
2023,Spring,O,146,N,97.54,4
2024,Winter,O,146,Y,97.4,4
2020,Fall,IP,146,Y,97.35,4
2023,Fall,H,211,N,97.33,4
2021,Winter,OC,146,N,97.28,4
2021,Winter,OC,146,N,97.28,4
2023,Winter,O,146,Y,97.28,4
2024,Winter,H,146,Y,97.26,4
