Name,Overall Quality,Easiness,Hot,Department,College,Total Ratings
"Chen, Tsuhan",5,2,Hot,Engineering,CMU,1
"Choset, Howard",2.4,3.3,Not Hot,Engineering,CMU,7
"Christin, Nicolas",,,Not Hot,Engineering,CMU,0
"Dahl, Kris",4.1,2.3,Not Hot,Engineering,CMU,6
"Dayal, Kaushik",1.5,4,Not Hot,Engineering,CMU,1
"Domach, Michael",3.8,4.5,Not Hot,Engineering,CMU,2
"De Graef, Marc",4.1,3.2,Not Hot,Engineering,CMU,5
"Donahue, Neil",4,2,Hot,Engineering,CMU,1
"Finger, Susan",5,3.5,Not Hot,Engineering,CMU,6
"Dzombak, David",,,Hot,Engineering,CMU,0
"Ganger, Greg",5,3,Hot,Engineering,CMU,1
"Garrison, Warren",4.8,3.3,Not Hot,Engineering,CMU,3
"Greve, David",5,5,Not Hot,Engineering,CMU,1
"Gligor, Virgil",2.5,2,Not Hot,Engineering,CMU,1
"Hendrickson, Chris",3.5,3,Hot,Engineering,CMU,1
"Heard, Robert",3.8,4,Not Hot,Engineering,CMU,3
"Higgs, C Fredrick",3.4,3.7,Not Hot,Engineering,CMU,7
"Ilic, Marija",,,Not Hot,Engineering,CMU,0
"Kim, Hyong",1.5,2.5,Not Hot,Engineering,CMU,2
"Laughlin, David",5,5,Not Hot,Engineering,CMU,1
"Leduc, Phil",3.8,4,Not Hot,Engineering,CMU,2
"Maarten, De Boer",2.5,2.5,Not Hot,Engineering,CMU,2
"Maly, Wojciech",,,Not Hot,Engineering,CMU,0
"McGaughey, Alan",4.8,3.5,Hot,Engineering,CMU,2
"McHenry, Michael",2.9,2,Not Hot,Engineering,CMU,7
"Nace, Bill",2.5,1.7,Not Hot,Engineering,CMU,3
"Oppenheim, Irving",4.2,5,Not Hot,Engineering,CMU,4
"Ozdoganlar, Burak",2.5,2.2,Not Hot,Engineering,CMU,5
"Newman, Charles",3.4,2.6,Not Hot,Engineering,CMU,7
"Porter, Lisa",2.6,2.5,Not Hot,Engineering,CMU,4
"Pileggi, Larry",4.2,3,Not Hot,Engineering,CMU,5
"Przybycien, Todd",1,2,Not Hot,Engineering,CMU,1
"Rabin, Yoed",3.2,1.2,Not Hot,Engineering,CMU,6
"Rajkumar, Raj",2.5,2.5,Not Hot,Engineering,CMU,2
"Reid, Robert",4.4,3.3,Not Hot,Engineering,CMU,7
"Ricketts, David",1.5,2,Not Hot,Engineering,CMU,1
"Robinson, Allen",4.6,3.1,Hot,Engineering,CMU,8
"Rohde, Gustavo",,,Not Hot,Engineering,CMU,0
"Rollett, Anthony",,,Not Hot,Engineering,CMU,0
"Rutenbar, Rob",4.7,2.4,Hot,Engineering,CMU,9
"Salvador, Paul",4.4,2.8,Hot,Engineering,CMU,12
"Seetharaman, Sridhar",4.4,3.3,Not Hot,Engineering,CMU,9
"Shimada, Kenji",5,4,Not Hot,Engineering,CMU,1
"Schneider, James",4.8,3.3,Not Hot,Engineering,CMU,3
"Sinopoli, Bruno",,,Hot,Engineering,CMU,0
"Soibelman, Lucio",2.9,3.7,Not Hot,Engineering,CMU,6
"Steif, Paul",3.4,2,Not Hot,Engineering,CMU,15
"Sullivan, Tom",4,2.6,Hot,Engineering,CMU,32
"Tilton, Robert",4,4,Not Hot,Engineering,CMU,1
"Tonguz, Ozan",,,Not Hot,Engineering,CMU,0
"Whitehead, Kathryn A",,,Not Hot,Engineering,CMU,0
"Wickert, Jonathan",4.7,3.5,Hot,Engineering,CMU,15
"Zapanta, Conrad",4.8,4.5,Hot,Engineering,CMU,2
"Ydstie, Erik",4.3,2.3,Not Hot,Engineering,CMU,3
"Zhu, Jimmy",3.8,2.9,Not Hot,Engineering,CMU,7
"Choueiri, Edgar",3.4,2.8,Not Hot,Engineering,Princeton,5
"Debenedetti, Pablo",4.8,2.9,Hot,Engineering,Princeton,9
"Fleischer, Jason",5,2,Hot,Engineering,Princeton,2
"Gmachl, Claire",5,5,Hot,Engineering,Princeton,1
"Guest, James",5,4,Hot,Engineering,Princeton,2
"Lee, Peter",3.2,2.5,Not Hot,Engineering,Princeton,2
"Kostin, Morton",2.8,3.4,Not Hot,Engineering,Princeton,5
"Lorig, Matthew",4.5,3,Hot,Engineering,Princeton,1
"Littman, Michael",,,Not Hot,Engineering,Princeton,0
"Lyon, Stephen",5,1.5,Hot,Engineering,Princeton,2
"Narimanov, Evgenii",,,Not Hot,Engineering,Princeton,0
"Prevost, Jean",,,Not Hot,Engineering,Princeton,0
"Prucnal, Paul",5,3.3,Hot,Engineering,Princeton,3
"Scherer, George",4,5,Not Hot,Engineering,Princeton,1
"Rowley, Clarence",2.5,2.2,Not Hot,Engineering,Princeton,4
"Shayegan, Mansour",,,Not Hot,Engineering,Princeton,0
"Vieira, Carlos",3.5,1,Hot,Engineering,Princeton,1
"Sturm, Jim",5,2,Not Hot,Engineering,Princeton,1
"Verdu, Sergio",4,3.5,Not Hot,Engineering,Princeton,2
"Wagner, Sigurd",,,Not Hot,Engineering,Princeton,0
"Wood, David",3.5,3,Hot,Engineering,Princeton,2
"Wasserman, Daniel",4.5,3,Hot,Engineering,Princeton,1
"Weiss, Ron",4,1,Not Hot,Engineering,Princeton,1
"Yalama, Cagan",4.8,4,Not Hot,Engineering,Princeton,2
"Zschau, Ed",3.7,3.5,Hot,Engineering,Princeton,6
"Duncan, James",2.3,1,Not Hot,Engineering,Yale,3
"Kuc, Roman",1.1,3,Not Hot,Engineering,Yale,4
"Long, Marshall",,,Not Hot,Engineering,Yale,0
"Abelson, Harold",3.2,2.8,Not Hot,Engineering,MIT,10
"Alamo, Jesus",4.1,3.3,Hot,Engineering,MIT,7
"Apostolakis, George",2.7,2.6,Not Hot,Engineering,MIT,8
"Agarwal, Anant",4.2,3.7,Not Hot,Engineering,MIT,20
"Anand, Lallit",4,3,Not Hot,Engineering,MIT,1
"Barbastathis, ",2.5,3,Not Hot,Engineering,MIT,4
"Boyce, Mary",3,2,Not Hot,Engineering,MIT,1
"Brenner, Howard",1.5,1,Not Hot,Engineering,MIT,3
"Braida, Louis",1,2,Not Hot,Engineering,MIT,1
"Brisson, John",5,1,Not Hot,Engineering,MIT,1
"Buehler, Markus",,,Not Hot,Engineering,MIT,0
"Buyukozturk, Oral",3.5,3.3,Not Hot,Engineering,MIT,3
"Byrnes, Jonathan",4.7,3.3,Not Hot,Engineering,MIT,3
"Colton, Clark",2.1,2,Not Hot,Engineering,MIT,4
"Crawley, Edward",2.4,2.8,Not Hot,Engineering,MIT,6
"Chandrakasan, Anantha",4,2.7,Not Hot,Engineering,MIT,3
"Colner, Jeff",,,Not Hot,Engineering,MIT,0
"Culpepper, Martin",5,3,Not Hot,Engineering,MIT,2
"Cummings, Mary",5,2,Not Hot,Engineering,MIT,1
"Demaine, Erik",4.5,3,Not Hot,Engineering,MIT,1
"Drela, Mark",5,3.2,Not Hot,Engineering,MIT,4
"Daniel, Luca",4,2,Hot,Engineering,MIT,1
"Drake, Alvin",4.5,2,Not Hot,Engineering,MIT,1
"Gray, Paul",4.4,4.2,Not Hot,Engineering,MIT,6
"Griffith, Linda",2.4,2.5,Not Hot,Engineering,MIT,4
"Flowers, Woodie",3.7,2.3,Not Hot,Engineering,MIT,3
"Ghoniem, Ahmed",,,Not Hot,Engineering,MIT,0
"Grodzinsky, Alan",4.1,2.7,Not Hot,Engineering,MIT,7
"Hansman, John",,,Not Hot,Engineering,MIT,0
"Hover, Franz",4,1.5,Hot,Engineering,MIT,2
"Hunter, Ian",1,5,Not Hot,Engineering,MIT,1
"Jones, Mike",2,3,Hot,Engineering,MIT,1
"Kamm, Roger",2.5,3,Not Hot,Engineering,MIT,1
"Kassab, Bassam",5,4,Hot,Engineering,MIT,2
"Kolpak, Alexie",,,Not Hot,Engineering,MIT,0
"Lagace, Paul",2.5,2.3,Not Hot,Engineering,MIT,3
"Landis, Geoffrey",5,3,Not Hot,Engineering,MIT,1
"Leeb, Steven",5,3,Hot,Engineering,MIT,3
"Lundberg, Kent",4.5,1.5,Not Hot,Engineering,MIT,2
"Medard, Muriel",2.8,2.1,Not Hot,Engineering,MIT,7
"Miller, David",5,4,Not Hot,Engineering,MIT,1
"Massaquoi, Steve",4,3,Hot,Engineering,MIT,1
"Newman, Dava",5,3,Not Hot,Engineering,MIT,2
"Oppenheim, Alan",2,1,Not Hot,Engineering,MIT,1
"Ozdaglar, Asuman",1.5,2,Not Hot,Engineering,MIT,1
"Parrilo, Pablo",4.7,2.7,Hot,Engineering,MIT,3
"Pena-Mora, Feniosky",1.1,1.6,Not Hot,Engineering,MIT,5
"Raghav, Gaurav",5,4,Hot,Engineering,MIT,1
"Pearlman, Robert",5,2,Hot,Engineering,MIT,1
"Reif, L. Rafael",5,3,Hot,Engineering,MIT,1
"Sadoway, Donald",4.1,3.6,Hot,Engineering,MIT,41
"Sawin, Herbert",3.8,2.3,Not Hot,Engineering,MIT,9
"Searle, Campbell",5,3,Not Hot,Engineering,MIT,2
"Sasisekharan, Ram",4.2,3.5,Hot,Engineering,MIT,2
"Sheffi, Yossi",4.5,3,Hot,Engineering,MIT,1
"Simchi-Levi, David",4.5,2.7,Not Hot,Engineering,MIT,3
"Smith, Kord",,,Not Hot,Engineering,MIT,0
"Sodini, Charles",2.1,2.2,Not Hot,Engineering,MIT,4
"Stevens, Kenneth",3.8,4,Not Hot,Engineering,MIT,2
"Siebert, William",5,3,Not Hot,Engineering,MIT,2
"Socrate, Simona",3.5,2.8,Not Hot,Engineering,MIT,6
"Spakovsky, Zoltan",4.2,1.3,Not Hot,Engineering,MIT,3
"Suh, Nam Pyo",4,1,Not Hot,Engineering,MIT,1
"Sussman, Joseph",3,4.5,Not Hot,Engineering,MIT,2
"Voldman, Joel",4,2,Not Hot,Engineering,MIT,1
"Tidor, Bruce",5,4,Not Hot,Engineering,MIT,1
"Trancik, Jessika",,,Not Hot,Engineering,MIT,0
"Wallace, David",5,2.7,Not Hot,Engineering,MIT,3
"Whittle, Andrew",2.8,3,Not Hot,Engineering,MIT,2
"Win, Moe",4.3,4.2,Hot,Engineering,MIT,5
"Winter, Amos G",,,Not Hot,Engineering,MIT,0
"Weaver, Christopher",4.6,1.8,Hot,Engineering,MIT,4
"Willsky, Alan",5,2,Hot,Engineering,MIT,2
"Yildiz, Bilge",,,Not Hot,Engineering,MIT,0
"Youcef-Toumi, Kamal",3,1,Not Hot,Engineering,MIT,2
"Aanstoos, Ted",4.8,4.5,Hot,Engineering,UTexas,4
"Aggarwal, J",,,Not Hot,Engineering,UTexas,0
"Ambler, Tony",3.2,3.2,Not Hot,Engineering,UTexas,12
"Baldea, Michael",,,Not Hot,Engineering,UTexas,0
"Bank, Seth",3.6,3.2,Hot,Engineering,UTexas,4
"Aziz, Adnan",3.8,3.5,Not Hot,Engineering,UTexas,2
"Banerjee, Sanjay",4.5,3,Not Hot,Engineering,UTexas,1
"Barber, Kathleen",2,5,Not Hot,Engineering,UTexas,1
"Barnes, John",3.8,3.7,Not Hot,Engineering,UTexas,3
"Beck, Ariane",4.5,3,Hot,Engineering,UTexas,1
"Benny, Freeman",2.5,1,Not Hot,Engineering,UTexas,1
"Becker, Michael",5,3,Hot,Engineering,UTexas,1
"Biegalski, Steven",4.6,3.1,Hot,Engineering,UTexas,19
"Bishop, Robert",,,Not Hot,Engineering,UTexas,0
"Bostick, Francis",5,3.7,Not Hot,Engineering,UTexas,3
"Bovik, Alan",5,2,Hot,Engineering,UTexas,1
"Buckley, Sean",,,Not Hot,Engineering,UTexas,0
"Cardwell, George",2.8,4,Not Hot,Engineering,UTexas,2
"Carter, Ronald",2.5,1,Not Hot,Engineering,UTexas,1
"Chase, Craig",3.6,2.2,Not Hot,Engineering,UTexas,8
"Chen, Dongmei",2.5,1,Not Hot,Engineering,UTexas,1
"Chen, Ray",1,5,Not Hot,Engineering,UTexas,1
"Crawford, Richard",3.2,2.5,Not Hot,Engineering,UTexas,2
"Daniels, Gary",5,5,Not Hot,Engineering,UTexas,2
"Deveciana, Gustavo",1,2,Not Hot,Engineering,UTexas,1
"Dodabalapur, Ananth",3,3.5,Not Hot,Engineering,UTexas,2
"Edision, Thomas",2.5,2,Not Hot,Engineering,UTexas,1
"Edison, Thomas A",,,Not Hot,Engineering,UTexas,0
"El Mohtar, Chadi",,,Not Hot,Engineering,UTexas,0
"Evans, Brian",1.5,1,Not Hot,Engineering,UTexas,1
"Folliard, Kevin",3.5,3.5,Not Hot,Engineering,UTexas,2
"Fowler, Wallace",3.5,4,Not Hot,Engineering,UTexas,1
"Gharpurey, Ranjit",4,1,Hot,Engineering,UTexas,1
"Georgiou, George",,,Not Hot,Engineering,UTexas,0
"Gerstlauer, Andreas",4,2.7,Not Hot,Engineering,UTexas,3
"Gildin, Eduardo",,,Not Hot,Engineering,UTexas,0
"Grady, Mack",5,2,Hot,Engineering,UTexas,1
"Hallock, ",5,3,Not Hot,Engineering,UTexas,1
"Hassibi, Arjang",4.2,5,Not Hot,Engineering,UTexas,3
"Hayes, Linda",4,2.7,Not Hot,Engineering,UTexas,3
"Heath, Robert",,,Not Hot,Engineering,UTexas,0
"Hidrovo-Chavez, Carlos",,,Not Hot,Engineering,UTexas,0
"Humphreys, Todd",1.2,1,Hot,Engineering,UTexas,2
"Iyoob, Ilyas",,,Not Hot,Engineering,UTexas,0
"Hull, David",1.5,1,Not Hot,Engineering,UTexas,1
"Julien, Chistine",4,3,Not Hot,Engineering,UTexas,2
"Keto, John",1,1,Not Hot,Engineering,UTexas,1
"Kim, Miryung",1.7,2,Not Hot,Engineering,UTexas,3
"Kockelman, Kara",4.2,2,Not Hot,Engineering,UTexas,2
"Koen, Billy",4.1,3.7,Hot,Engineering,UTexas,18
"Krasner, Herb",3.7,3.2,Not Hot,Engineering,UTexas,5
"Kublik, Richard",,,Not Hot,Engineering,UTexas,0
"Krueger, Thomas",3.5,4.3,Not Hot,Engineering,UTexas,3
"Lake, Larry",1.9,3,Not Hot,Engineering,UTexas,5
"Liechti, Kenneth",3.1,1.5,Not Hot,Engineering,UTexas,4
"Ling, Hao",5,3.5,Not Hot,Engineering,UTexas,2
"Lipovski, Jack",1.4,2.5,Not Hot,Engineering,UTexas,6
"Lloyd, Douglas",1.2,1,Not Hot,Engineering,UTexas,10
"Malik, Krishan",2.1,4.3,Not Hot,Engineering,UTexas,6
"Mark, Hans",4.4,4.1,Not Hot,Engineering,UTexas,7
"Maynard, Jennifer",3.2,4,Hot,Engineering,UTexas,2
"McCann, Robert",4,5,Not Hot,Engineering,UTexas,2
"Neal, William",,,Not Hot,Engineering,UTexas,0
"Nettles, Scott",,,Not Hot,Engineering,UTexas,0
"Nguyen, Quoc",4.5,3,Not Hot,Engineering,UTexas,1
"Olson, Jon",2.5,2.5,Not Hot,Engineering,UTexas,2
"Ocampo, Cesar",4.2,1,Hot,Engineering,UTexas,2
"Oden, Tinsley",,,Not Hot,Engineering,UTexas,0
"Patt, Yale",3.2,2.1,Not Hot,Engineering,UTexas,19
"Persad, Chadee",,,Not Hot,Engineering,UTexas,0
"Peters, Ekwere",2.3,3,Not Hot,Engineering,UTexas,6
"Pope, Gary",,,Not Hot,Engineering,UTexas,0
"Prozzi, Jorge",3,1.5,Not Hot,Engineering,UTexas,2
"Ramesh, Yerraballi",,,Not Hot,Engineering,UTexas,0
"Rathje, Ellen",2.2,1.5,Not Hot,Engineering,UTexas,2
"Ravi-Chandar, Krishnaswa",5,3,Not Hot,Engineering,UTexas,1
"Rickard, John",,,Not Hot,Engineering,UTexas,0
"Rossen, William",3.9,3.5,Not Hot,Engineering,UTexas,4
"Satyan, Sri",1,3,Not Hot,Engineering,UTexas,1
"Schmidt, Christine",,,Not Hot,Engineering,UTexas,0
"Sepehrnoori, Kamy",4.4,3.2,Not Hot,Engineering,UTexas,4
"Swinnea, John",3.9,3.8,Not Hot,Engineering,UTexas,8
"Telang, Nina",4.5,3.2,Not Hot,Engineering,UTexas,5
"Tesar, Delbert",,,Not Hot,Engineering,UTexas,0
"Thomas, Ian",1.2,2.8,Not Hot,Engineering,UTexas,4
"Tonon, Fulvio",2,2,Not Hot,Engineering,UTexas,1
"Touba, Nour",,,Not Hot,Engineering,UTexas,0
"Torres-Verdin, Carlos",,,Not Hot,Engineering,UTexas,0
"Tunnell, James",,,Not Hot,Engineering,UTexas,0
"Valvano, Jonathan",4.3,3,Not Hot,Engineering,UTexas,3
"Wagner, ",2.3,2.7,Not Hot,Engineering,UTexas,7
"Webber, Michael",,,Not Hot,Engineering,UTexas,0
"Waller, Travis",4,3,Hot,Engineering,UTexas,1
"Wood, Billy",4.8,5,Not Hot,Engineering,UTexas,2
"Yu, Ed",2.8,1,Not Hot,Engineering,UTexas,3
"Zhang, Zhanmin",1,2,Not Hot,Engineering,UTexas,1
"Zhang, John",,,Not Hot,Engineering,UTexas,0
"Andriacchi, Thomas",,,Not Hot,Engineering,Stanford,0
"Bambos, Nick",3.8,3.8,Not Hot,Engineering,Stanford,4
"Benson, Sally",,,Not Hot,Engineering,Stanford,0
"Bao, Zhenan",,,Not Hot,Engineering,Stanford,0
"Boyd, Stephen",4,2.2,Hot,Engineering,Stanford,13
"Bravman, John",4.6,2.5,Not Hot,Engineering,Stanford,6
"Carryer, Ed",5,1,Not Hot,Engineering,Stanford,1
"Chang, Fu Kuo",4.2,3.1,Not Hot,Engineering,Stanford,7
"Chiu, Sam",2.6,2.6,Not Hot,Engineering,Stanford,7
"Cioffi, John",2.7,4,Not Hot,Engineering,Stanford,3
"Darve, Eric",4.5,2,Hot,Engineering,Stanford,2
"Cutkosky, Mark",5,3,Not Hot,Engineering,Stanford,2
"Eaton, John",,,Not Hot,Engineering,Stanford,0
"Eftekhari, Kamran",5,2,Not Hot,Engineering,Stanford,1
"Edwards, Christopher",2,3,Not Hot,Engineering,Stanford,1
"Faste, Rolf",5,3,Not Hot,Engineering,Stanford,1
"El Gamal, Abbas",3.4,2.3,Not Hot,Engineering,Stanford,7
"Engler, Dawson",,,Not Hot,Engineering,Stanford,0
"Gerdes, Christian",5,1.8,Not Hot,Engineering,Stanford,4
"Gerritsen, Margot",5,2,Hot,Engineering,Stanford,1
"Goldsmith, ",2.8,2.3,Not Hot,Engineering,Stanford,3
"Inan, Umran",3.5,1.5,Not Hot,Engineering,Stanford,2
"Jacobson, Mark",5,3,Hot,Engineering,Stanford,1
"Kahn, Joseph",1,2,Not Hot,Engineering,Stanford,1
"Khayms, Vadim",4.3,1.8,Hot,Engineering,Stanford,17
"Khuri-Yakub, Pierre",3.5,2.9,Not Hot,Engineering,Stanford,10
"Khosla, Chaitan",3.4,2,Hot,Engineering,Stanford,6
"Kosnik, Tom",4.8,2.5,Not Hot,Engineering,Stanford,2
"Kozyrakis, Christos",3.8,2.3,Not Hot,Engineering,Stanford,3
"Lall, Sanjay",2.8,2.5,Not Hot,Engineering,Stanford,6
"Lusignan, Bruce",3.3,3.3,Not Hot,Engineering,Stanford,7
"McGehee, Mike",4.5,4.5,Not Hot,Engineering,Stanford,2
"Moin, Parviz",3.5,1,Not Hot,Engineering,Stanford,1
"Osgood, Brad",4.8,3.2,Hot,Engineering,Stanford,6
"Murmann, Boris",4.3,1.7,Not Hot,Engineering,Stanford,3
"Orr Jr., Franklin M.",,,Not Hot,Engineering,Stanford,0
"Pauly, John",4.2,3,Hot,Engineering,Stanford,3
"Prabhakar, Balaji",,,Not Hot,Engineering,Stanford,0
"Robertson, Channing",4.8,2.7,Hot,Engineering,Stanford,7
"Rock, Steve",2.3,3,Not Hot,Engineering,Stanford,3
"Salleo, Alberto",,,Not Hot,Engineering,Stanford,0
"Santiago, Juan",5,3,Hot,Engineering,Stanford,2
"Shahidi, ",,,Not Hot,Engineering,Stanford,0
"Sheppard, Sheri",5,2.5,Hot,Engineering,Stanford,4
"Shenoy, Krishna",5,3,Not Hot,Engineering,Stanford,1
"Solgaard, Olav",,,Not Hot,Engineering,Stanford,0
"Spradlin, Melody",4,3,Hot,Engineering,Stanford,1
"Springer, George",5,4.3,Hot,Engineering,Stanford,3
"Taylor, Charles",,,Not Hot,Engineering,Stanford,0
"Tomlin, Claire",4.3,3.3,Not Hot,Engineering,Stanford,3
"Tobagi, Fouad",1.5,2.6,Not Hot,Engineering,Stanford,5
"Tyler, Leonard",,,Not Hot,Engineering,Stanford,0
"Waldron, Keith",3,2,Not Hot,Engineering,Stanford,1
"Walters, Sarah",3.9,3.2,Hot,Engineering,Stanford,4
"Weber, Thomas",2.5,1.7,Not Hot,Engineering,Stanford,3
"Waldron, Ken",1,1,Not Hot,Engineering,Stanford,1
"Wilde, Douglass",,,Not Hot,Engineering,Stanford,0
"Woehrmann, Peter",,,Not Hot,Engineering,Stanford,0
"Albertson, John",4.2,4,Not Hot,Engineering,Duke,7
"Barr, Roger",4.2,4.2,Not Hot,Engineering,Duke,5
"Barros, Ana",2.2,2.5,Not Hot,Engineering,Duke,6
"Bejan, Adrian",4.8,1.3,Hot,Engineering,Duke,7
"Boadu, Fred",,,Not Hot,Engineering,Duke,0
"Board, John",4.5,1.8,Not Hot,Engineering,Duke,5
"Boyd, Larry",4.6,2.8,Not Hot,Engineering,Duke,4
"Brooke, Martin",1.7,4.3,Not Hot,Engineering,Duke,3
"Brown, April",5,4,Not Hot,Engineering,Duke,1
"Bursac, Nenad",2.2,1.6,Not Hot,Engineering,Duke,5
"Cartee, Lianne",3.6,3.6,Not Hot,Engineering,Duke,7
"Collins, Leslie",3,3.2,Not Hot,Engineering,Duke,4
"Cummer, Steven",4.2,2,Not Hot,Engineering,Duke,4
"Curtarolo, Stefano",4.2,3,Hot,Engineering,Duke,21
"Dahl, Jeremy",3.2,2,Hot,Engineering,Duke,3
"Derby, Jeffrey",3.7,4.3,Hot,Engineering,Duke,3
"Dowell, Earl",4,4,Not Hot,Engineering,Duke,1
"Dolbow, John",4.6,3.6,Hot,Engineering,Duke,8
"Fair, Richard",3.7,3,Not Hot,Engineering,Duke,3
"Fox, Bradley",3.8,1.5,Not Hot,Engineering,Duke,2
"Franzoni, Linda",3.8,2,Hot,Engineering,Duke,2
"Friedman, Morton",4,2,Not Hot,Engineering,Duke,1
"Garg, Devandra",4.2,3.5,Hot,Engineering,Duke,2
"Gersbach, Charles",2.2,3,Not Hot,Engineering,Duke,2
"Gimm, Aura",2.8,2.1,Not Hot,Engineering,Duke,14
"Grill, Warren",3.6,1.9,Not Hot,Engineering,Duke,14
"Gustafson, Michael",4.6,3.5,Not Hot,Engineering,Duke,88
"Hall, Kenneth",3.2,1.8,Hot,Engineering,Duke,4
"Henriquez, Craig",4.1,2.1,Not Hot,Engineering,Duke,7
"Howle, Laurens",4.2,4,Not Hot,Engineering,Duke,2
"Hueckel, Tomasz",3.5,4,Not Hot,Engineering,Duke,1
"Huettel, Lisa",4.7,2.8,Hot,Engineering,Duke,18
"Izatt, Joseph",4,2.8,Not Hot,Engineering,Duke,10
"Joines, William",4.3,2.8,Hot,Engineering,Duke,6
"Kabala, Zbigniew",1,1.5,Not Hot,Engineering,Duke,2
"Katz, David",4.5,3.3,Hot,Engineering,Duke,6
"Khasawneh, Firas",2.6,1.6,Not Hot,Engineering,Duke,12
"Khlystov, Andrey",1,5,Not Hot,Engineering,Duke,1
"Knight, Joe",4.9,4,Not Hot,Engineering,Duke,5
"Krassowska, Wanda",4.9,4,Not Hot,Engineering,Duke,4
"Lazarides, Anne",2.3,2.8,Not Hot,Engineering,Duke,9
"Lopez, Gabriel",1.5,2,Not Hot,Engineering,Duke,1
"Lu, Felix",,,Not Hot,Engineering,Duke,0
"Malkin, Robert",3.4,2.8,Not Hot,Engineering,Duke,16
"Marani, Marco",2,3,Not Hot,Engineering,Duke,1
"Marinos, Peter",3.5,4,Not Hot,Engineering,Duke,1
"Marszalek, Piotr",4.5,4,Not Hot,Engineering,Duke,1
"Massoud, Hisham",3.2,2.4,Not Hot,Engineering,Duke,15
"Nadeau, Joe",4.2,2.4,Hot,Engineering,Duke,18
"Nightingale, Kathryn",2.7,2.3,Not Hot,Engineering,Duke,3
"Nightingale, Roger",4,3.4,Not Hot,Engineering,Duke,12
"Ozev, Sule",2.3,1.7,Not Hot,Engineering,Duke,6
"Palmeri, Mark",4.6,2,Hot,Engineering,Duke,4
"Petroski, Henry",3.9,4.6,Not Hot,Engineering,Duke,7
"Plata, Desiree",5,4,Not Hot,Engineering,Duke,1
"Peretti, John",4.5,4,Hot,Engineering,Duke,1
"Protz, Jonathan",3.8,2.5,Not Hot,Engineering,Duke,2
"Reichert, William",1.8,1.5,Not Hot,Engineering,Duke,13
"Rizk, Michael",4.4,2,Not Hot,Engineering,Duke,4
"Rhett, George",5,5,Not Hot,Engineering,Duke,1
"Roy Choudhary, Romit",3.5,3,Not Hot,Engineering,Duke,2
"Salinas, Chelsea",,,Not Hot,Engineering,Duke,0
"Schaad, David",4.3,4.4,Hot,Engineering,Duke,10
"Shaughnessy, Edward",3.3,1.7,Not Hot,Engineering,Duke,3
"Shen, Mike Yen-Chao",5,4,Hot,Engineering,Duke,2
"Simmons, Rebecca",3.8,3.8,Not Hot,Engineering,Duke,24
"Smith, David",4.5,2,Not Hot,Engineering,Duke,2
"Tan, Teh",2.6,3.8,Not Hot,Engineering,Duke,5
"Tian, Jingdong",1.3,3.4,Hot,Engineering,Duke,5
"Trahey, Gregg",2.7,2.7,Hot,Engineering,Duke,3
"Truskey, George",3.3,2.5,Not Hot,Engineering,Duke,11
"Vallero, Daniel",2,4.5,Not Hot,Engineering,Duke,2
"Virgin, Lawrence",3.6,3.8,Not Hot,Engineering,Duke,4
"Von Ramm, Olaf",2.5,2,Not Hot,Engineering,Duke,19
"Wallace, Charles",5,2.5,Hot,Engineering,Duke,2
"Wang, Paul",,,Not Hot,Engineering,Duke,0
"Wax, Adam",4.2,2,Hot,Engineering,Duke,2
"Wolf, Patrick",1.2,1,Not Hot,Engineering,Duke,2
"Wolter, Scott",3.7,2.3,Not Hot,Engineering,Duke,3
"Ybarra, Gary",4.8,2.6,Not Hot,Engineering,Duke,18
"Yuan, Fan",2.5,2.6,Not Hot,Engineering,Duke,8
"Zhao, Xuanhe",3.5,3,Hot,Engineering,Duke,1
"You, Lingchong",2.7,1.7,Not Hot,Engineering,Duke,10
"Zauscher, Stefan",3.7,2.6,Not Hot,Engineering,Duke,10
"Zhelev, Dontcho",1.8,2.6,Not Hot,Engineering,Duke,8
"Zhong, Pei",,,Not Hot,Engineering,Duke,0
"Aazhang, Behnaam",5,1,Hot,Engineering,Rice,1
"Allen, Genevera",4,1,Hot,Engineering,Rice,1
"Baraniuk, Richard",2.5,1.2,Not Hot,Engineering,Rice,4
"Antoulas, Athanasios",4.5,3,Not Hot,Engineering,Rice,1
"Cavallaro, Joseph",5,4,Hot,Engineering,Rice,1
"Chapman, Walter",,,Not Hot,Engineering,Rice,0
"Clark, John",,,Not Hot,Engineering,Rice,0
"Cutler, Scott",,,Not Hot,Engineering,Rice,0
"Grigoriadis, Karolos",3.2,3.5,Not Hot,Engineering,Rice,2
"Halas, Naomi",,,Not Hot,Engineering,Rice,0
"James, Wise",1.1,2.4,Not Hot,Engineering,Rice,5
"Johnson, Don",4,2,Not Hot,Engineering,Rice,2
"Knightly, Edward",2.8,3.3,Not Hot,Engineering,Rice,3
"Kono, Junichiro",,,Not Hot,Engineering,Rice,0
"Koushanfar, Farinaz",5,4,Not Hot,Engineering,Rice,2
"Kelly, Kevin",,,Not Hot,Engineering,Rice,0
"Kosterev, Anatoliy",,,Not Hot,Engineering,Rice,0
"Massoud, Yehia",3.4,2.8,Hot,Engineering,Rice,5
"Meade, Andrew",5,5,Hot,Engineering,Rice,1
"Merenyi, Erzsebet",4.5,1,Hot,Engineering,Rice,1
"Massey, Richard",3.8,2.5,Not Hot,Engineering,Rice,4
